Paragraph_ID,Paragraph,Gold Annotation,structure_type,entity_type,relation_type,condition_type,noise_type
P0056,"The report allows for both corroborating and conflicting signals. Substance A and Marker M demonstrate a connection with Marker Delta, with the most pronounced pattern occurring in condition alpha, according to the specific description. The adjacent phrasing opposes a global interpretation. The neighboring text denies a widespread application. A subsequent sentence mentions them again without repeating the complete entity titles. Nothing in the account transforms the situation-bound finding into a universal principle.","[{""e1"": ""Substance A"", ""e2"": ""Marker Delta"", ""relation"": ""demonstrate a connection with"", ""condition"": ""condition alpha""}, {""e1"": ""Marker M"", ""e2"": ""Marker Delta"", ""relation"": ""demonstrate a connection with"", ""condition"": ""condition alpha""}]",inline_condition,conjoined,association,natural,coreference_noise
P0057,"The report allows for both corroborating and conflicting signals. Compound Q and Exposure DD typically manifest with Profile Psi specifically within group iota instead of universally. The localized phrasing maintains the assertion's connection to group iota. The concluding sentence leaves the association clearly restricted by the state. A peripheral comment mentions Indicator J, which is vaguely linked to Pattern N during observation window rose, though it never connects back to Profile Psi. The labeler must therefore disregard the adjacent but non-target hint.","[{""e1"": ""Compound Q"", ""e2"": ""Profile Psi"", ""relation"": ""typically manifest with"", ""condition"": ""group iota""}, {""e1"": ""Exposure DD"", ""e2"": ""Profile Psi"", ""relation"": ""typically manifest with"", ""condition"": ""group iota""}]",inline_condition,conjoined,association,natural,distractor_relation
P0058,"The report initially presents the entities and only then restricts the applicable environment. Module CC and Substance A demonstrate a connection with Balance Sigma, with the most pronounced pattern occurring in state pi, according to the specific description. The account concludes without broadening the statement beyond the designated parameters. The narrative finishes by maintaining the localized scope of the claim. Only after a peripheral sentence does the text clarify that the pertinent setting is state pi. That supplementary comment serves only as interference for the labeler.","[{""e1"": ""Module CC"", ""e2"": ""Balance Sigma"", ""relation"": ""demonstrate a connection with"", ""condition"": ""state pi""}, {""e1"": ""Substance A"", ""e2"": ""Balance Sigma"", ""relation"": ""demonstrate a connection with"", ""condition"": ""state pi""}]",inline_condition,conjoined,association,natural,sentence_distance
P0060,"The report opens by framing the pattern as context-sensitive. Exposure DD and Substance B are associated with State Phi specifically within state theta instead of universally. That framing is preserved throughout the rest of the document. No wider assertion is authorized beyond the given parameters. The account concisely mentions a conflicting possibility for Substance B, but it does not supersede the primary, situation-bound claim. The labeler must therefore disregard the adjacent but non-target hint.","[{""e1"": ""Exposure DD"", ""e2"": ""State Phi"", ""relation"": ""are associated with"", ""condition"": ""state theta""}, {""e1"": ""Substance B"", ""e2"": ""State Phi"", ""relation"": ""are associated with"", ""condition"": ""state theta""}]",inline_condition,conjoined,association,natural,conflicting_signal
P0061,The observation is treated with prudence because it does not apply universally. The report states that Input K and Signal V are associated with Effect R specifically during condition delta. The specific phrasing maintains the statement's connection to condition delta. The account concludes by retaining the localized limit of the assertion. The narrative then utilizes a shorthand mention of the previous entity arrangement. The final summary remains restricted by the designated parameters.,"[{""e1"": ""Input K"", ""e2"": ""Effect R"", ""relation"": ""are associated with"", ""condition"": ""condition delta""}, {""e1"": ""Signal V"", ""e2"": ""Effect R"", ""relation"": ""are associated with"", ""condition"": ""condition delta""}]",inline_condition,conjoined,association,contrastive,coreference_noise
P0062,The report starts by presenting the observation as context-sensitive. Input K and Signal V are associated with Outcome Omega specifically within condition epsilon instead of universally. The text never separates the connection from condition epsilon. No wider assertion is authorized beyond the given parameters. The account concisely mentions that Marker P is only vaguely linked to Module K during ambient pattern silver; this stays unrelated to the primary link. That supplementary comment serves only as interference for the labeler.,"[{""e1"": ""Input K"", ""e2"": ""Outcome Omega"", ""relation"": ""are associated with"", ""condition"": ""condition epsilon""}, {""e1"": ""Signal V"", ""e2"": ""Outcome Omega"", ""relation"": ""are associated with"", ""condition"": ""condition epsilon""}]",inline_condition,conjoined,association,contrastive,distractor_relation
P0063,The neighboring commentary does not treat the association as uniform. The report declares that Intervention FF and Drug Y are linked with Outcome Omega specifically within condition gamma. The account concludes without broadening the statement beyond the designated environment. The narrative finishes by maintaining the localized scope of the assertion. Only after a peripheral sentence does the text clarify that the pertinent environment is condition gamma. The concluding sentence leaves the connection clearly restricted by the state.,"[{""e1"": ""Intervention FF"", ""e2"": ""Outcome Omega"", ""relation"": ""are linked with"", ""condition"": ""condition gamma""}, {""e1"": ""Drug Y"", ""e2"": ""Outcome Omega"", ""relation"": ""are linked with"", ""condition"": ""condition gamma""}]",inline_condition,conjoined,association,contrastive,sentence_distance
P0064,"The text starts by presenting the observation as context-sensitive. Agent BB and Factor GG are often observed with Profile Psi specifically within phase mu, according to the specific description. The concluding sentence leaves the connection clearly restricted by the state. The narrative finishes by maintaining the localized scope of the assertion. A peripheral note mentions that certain descriptions condense the specifics, yet the primary link remains sufficiently clear for labeling. The labeler must therefore disregard the adjacent but non-target hint.","[{""e1"": ""Agent BB"", ""e2"": ""Profile Psi"", ""relation"": ""are often observed with"", ""condition"": ""phase mu""}, {""e1"": ""Factor GG"", ""e2"": ""Profile Psi"", ""relation"": ""are often observed with"", ""condition"": ""phase mu""}]",inline_condition,conjoined,association,contrastive,partial_information
P0065,"The report clearly distinguishes one environment from another before identifying the result. The text declares that Substance B and Compound N are linked with Outcome Omega specifically within context xi. The account never separates the association from context xi. No wider assertion is authorized beyond the given parameters. A secondary note suggests that Compound N has a detectable connection to Outcome Omega in other settings, though not within the state designated for labeling. The narrow annotation target remains tethered to context xi.","[{""e1"": ""Substance B"", ""e2"": ""Outcome Omega"", ""relation"": ""are linked with"", ""condition"": ""context xi""}, {""e1"":""Compound N"",""e2"":""Outcome Omega"",""relation"":""are linked with"",""condition"":""context xi""}, {""e1"":""Compound N"",""e2"":""Outcome Omega"",""relation"":""has a detectable connection"",""condition"":""other settings""}]",inline_condition,conjoined,association,contrastive,conflicting_signal
P0066,"The text indicates early on that environment is critical for understanding. A specific assertion within the report is that Compound Q and Exposure DD are associated with Symptom Q specifically within narrower circumstances. The account never separates the connection from group rho. The concluding sentence leaves the association clearly restricted by the state. Subsequently, they are mentioned again via the expression 'the same profile', yet that repetition does not introduce an additional labeling pair. The narrative finishes without broadening the statement beyond the designated parameters.","[{""e1"": ""Compound Q"", ""e2"": ""Symptom Q"", ""relation"": ""are associated with"", ""condition"": ""group rho""}, {""e1"": ""Exposure DD"", ""e2"": ""Symptom Q"", ""relation"": ""are associated with"", ""condition"": ""group rho""}]",inline_condition,conjoined,association,weak_implicit,coreference_noise
P0068,The account allows for both reinforcing and conflicting indicators. Input K and Signal V align with State Phi specifically within particular subjects instead of universally. The text never separates the connection from phase mu. The neighboring phrasing opposes a general interpretation. Only after a peripheral sentence does the report clarify that the pertinent environment is phase mu. The narrative finishes without broadening the statement beyond the designated parameters.,"[{""e1"": ""Input K"", ""e2"": ""State Phi"", ""relation"": ""align with"", ""condition"": ""phase mu""}, {""e1"": ""Signal V"", ""e2"": ""State Phi"", ""relation"": ""align with"", ""condition"": ""phase mu""}]",inline_condition,conjoined,association,weak_implicit,sentence_distance
P0070,"The passage starts by observing that the connection varies across environments. The text declares that Mechanism AA and Intervention FF co-occur with Signal Kappa under narrower circumstances. The account never separates the association from context xi. The concluding sentence leaves the link clearly restricted by the state. A secondary note suggests that Intervention FF is linked with Signal Kappa in other settings, though not within the state designated for labeling. The narrow labeling objective remains tethered to particular environments linked to context xi.","[{""e1"": ""Mechanism AA"", ""e2"": ""Signal Kappa"", ""relation"": ""co-occur with"", ""condition"": ""context xi""}, {""e1"":""Intervention FF"",""e2"":""Signal Kappa"",""relation"":""co-occur with"",""condition"":""context xi""}, {""e1"":""Intervention FF"",""e2"":""Signal Kappa"",""relation"":""is linked with"",""condition"":""other settings""}]",inline_condition,conjoined,association,weak_implicit,conflicting_signal
