Paragraph_ID,Paragraph,Gold Annotation
P12PR3,"miRNAs bind preferentially to specific sequences in the 3′-untranslated region (3′UTR) of mRNAs and regulate protein output through translational repression and/or mRNA destabilization. Most protein-coding genes and virtually every biological process are subject to miRNA-mediated regulation. Several studies have examined the dysregulated expression of miRNAs in PC (mainly in primary tumors) and have reported suppression of several miRNAs, including miR-31, miR-1, miR-133a/b, miR-143 and miR-145, with variable overlap in their findings. Conversely, several miRs have been found to be overexpressed in PC, including miR-32, miR-148a, miR-21 and the miR-106b-25 cluster.","[{'e1': 'miRNAs ', 'e2': ' specific sequences', 'relation': 'bind preferentially to', 'condition': ' in the 3′-untranslated region (3′UTR) of mRNAs'}, {'e1': 'miRNAs ', 'e2': 'protein output', 'relation': ' regulate ', 'condition': ' through translational repression '}, {'e1': 'miRNAs ', 'e2': 'protein output', 'relation': ' regulate ', 'condition': ' through mRNA destabilization'}, {'e1': 'Several studies ', 'e2': 'dysregulated expression of miRNAs', 'relation': 'have examined the ', 'condition': ' in PC (mainly in primary tumors'}]"
P73P2,"Precision oncology entails therapeutic decision-making on the basis of an individual patient’s molecular tumor profile. To that end, it is imperative to develop strategies to rapidly identify clinically relevant patient subgroups. While next-generation sequencing technologies have greatly advanced molecular classification, they are not routinely used for prostate cancer and may be costly. Because histological variants can correlate with genomic alterations in other malignancies, we hypothesized that distinct prostate cancer histologies may also associate with underlying molecular aberrations – allowing for the rapid identification of patients for further screening. In this study, we sought to determine if ductal prostate cancer (dPC) was associated with clinically actionable molecular features.","[{'e1': 'histological variants ', 'e2': 'genomic alterations ', 'relation': 'can correlate with ', 'condition': 'in other malignancies'}]"
P168P1,"Single nucleotide polymorphisms (SNPs) within the regulatory elements of a gene can alter gene expression, making these SNPs of prime importance for candidate gene association studies. We aimed to determine whether such regulatory variants are associated with clinical outcomes in three cohorts of patients with prostate cancer. We used RegulomeDB to identify potential regulatory variants based on in silico predictions and reviewed genome-wide experimental findings. Overall, 131 putative regulatory SNPs with the highest confidence score on predicted functionality were investigated in two independent localized prostate cancer cohorts totalling 458 patients who underwent radical prostatectomy. The statistically significant SNPs identified in these two cohorts were then tested in an additional cohort of 504 patients with advanced prostate cancer. We identified one regulatory SNP, rs1646724, that was consistently associated with increased risk of recurrence in localized disease and mortality in patients with advanced prostate cancer after adjusting for known clinicopathological factors. Further investigation revealed that rs1646724 may affect expression of SLC35B4, which encodes a glycosyltransferase, and that down-regulation of SLC35B4 by transfecting short hairpin RNA in DU145 human prostate cancer cell suppressed proliferation, migration and invasion. Furthermore, we found increased SLC35B4 expression correlated with more aggressive forms of prostate cancer and poor patient prognosis. Our study provides robust evidence that regulatory genetic variants can affect clinical outcomes.","[{'e1': ' rs1646724 ', 'e2': ' increased risk of recurrence', 'relation': 'was consistently associated with', 'condition': ' in localized disease '}, {'e1': ' rs1646724 ', 'e2': 'mortality', 'relation': 'was consistently associated with', 'condition': ' in patients with advanced prostate cancer '}, {'e1': ' rs1646724 ', 'e2': ' increased risk of recurrence in localized disease ', 'relation': 'was consistently associated with', 'condition': 'after adjusting for known clinicopathological factors'}, {'e1': ' rs1646724 ', 'e2': 'mortality in patients with advanced prostate cancer ', 'relation': 'was consistently associated with', 'condition': 'after adjusting for known clinicopathological factors'}]"
P73P8,"Determining which patients have hypermutated prostate tumors may have important implications for future precision oncology trials, as mutational burden has been shown to correlate with response to immune checkpoint blockade in several tumor types (e.g. anti-CTLA4, anti-PD1, anti-PDL1). Although objective responses to immune checkpoint inhibition have initially been generally disappointing in patients with prostate cancer, most have a relatively low mutational load. A recent Phase II study testing pembrolizumab (anti-PD1 therapy) in patients with metastatic colorectal carcinoma with and without MMR deficiency reported that 40% of hypermutated colorectal cancer patients had an immune-related objective response compared to 0% of patients without MSI-high tumors. Moreover, a 50% response rate to pembrolizumab in hypermutated non-colorectal gastrointestinal malignancies has been observed – supporting the hypothesis that mutational load may be a predictive biomarker for response to immune checkpoint blockade in prostate cancer. The observation that one of the hypermutated patients followed in our clinic had a dramatic response to anti-PD1 therapy in spite of being heavily pretreated further bolsters the hypothesis that hypermutation may be predictive of response to PD1/PDL1 pathway inhibition.","[{'e1': 'mutational burden ', 'e2': 'response to immune checkpoint blockade ', 'relation': 'has been shown to correlate with ', 'condition': 'in several tumor types'}]"
P99P15,"In men with adverse pathology or early disease progression after prostatectomy, the Decipher 22 gene genomic classifier predicts risk of prostate cancer death. When combined with the Cancer of the Prostate Risk Assessment Postsurgical Score it further stratifies risk, which may be useful for decisions about postprostatectomy treatment.","[{'e1': 'the Decipher 22 gene genomic classifier ', 'e2': ' risk of prostate cancer death', 'relation': 'predicts', 'condition': 'In men with adverse pathology '}, {'e1': 'the Decipher 22 gene genomic classifier ', 'e2': ' risk of prostate cancer death', 'relation': 'predicts', 'condition': 'in men with early disease progression after prostatectomy'}]"
P84P1,"Hypermethylation of the paired-like homeodomain transcription factor 2 (PITX2) gene is a strong predictor of the risk of biochemical recurrence in patients with prostate cancer (PCa) after radical prostatectomy. We investigate whether PITX2 methylation is feasible for individualized risk assessment in prostate core biopsies before surgery. A quantitative, methylation-specific real-time PCR was used to measure PITX2 in three cohorts: i) matched samples of neoplastic and nonneoplastic tissue from 24 patients with PCa, ii) a well-characterized cohort of 300 patients with PCa after radical prostatectomy, and iii) core biopsy specimens from 32 patients with PCa and 31 patients with benign prostatic disease. PITX2 methylation discriminated between neoplastic and nonneoplastic tissue in patients with PCa. In the second cohort, PITX2 hypermethylation predicted an increased risk of biochemical recurrence in univariate Cox proportional hazards regression analysis and Kaplan-Meier analysis. In 753 prostate biopsies, 720 were applicable for analysis, rendering the assay feasible for diagnostic biopsies. PITX2 methylation was furthermore significantly increased in tumor-positive biopsies and strongly correlated with International Society of Urological Pathology grade groups. This study indicates that the PITX2 methylation assay is feasible in prostate biopsies and might add valuable prognostic information for risk assessment in a presurgical diagnostic setting.","[{'e1': 'Hypermethylation of the paired-like homeodomain transcription factor 2 (PITX2) gene ', 'e2': 'the risk of biochemical recurrence ', 'relation': 'is a strong predictor of ', 'condition': 'in patients with prostate cancer (PCa) after radical prostatectomy'}, {'e1': 'Hypermethylation of the paired-like homeodomain transcription factor 2 (PITX2) gene ', 'e2': 'the risk of biochemical recurrence in patients with prostate cancer (PCa)', 'relation': 'is a strong predictor of ', 'condition': 'after radical prostatectomy'}, {'e1': 'PITX2 methylation ', 'e2': 'neoplastic and nonneoplastic tissue', 'relation': 'discriminated between ', 'condition': ' in patients with PCa'}, {'e1': 'PITX2 hypermethylation', 'e2': 'increased risk of biochemical recurrence', 'relation': ' predicted an ', 'condition': ' in univariate Cox proportional hazards regression analysis and Kaplan-Meier analysis'}, {'e1': 'PITX2 methylation assay ', 'e2': 'feasible ', 'relation': 'is ', 'condition': 'in prostate biopsies '}, {'e1': 'PITX2 methylation assay ', 'e2': 'risk assessment ', 'relation': 'might add valuable prognostic information for ', 'condition': 'in a presurgical diagnostic setting.'}]"
P122P7,"Decisions regarding ART and SRT after RP are complex for patients and clinicians, since choices can be influenced by an individual's recurrence risk, medical comorbidities and personal preferences and values. A recent Markov decision analysis model considering length and quality of life for ART versus SRT showed that the preferred treatment strategy for an individual patient is dependent upon the specific probabilities for cancer recurrence, as defined based on a genomic risk classifier assay, as well as death from causes other than prostate cancer. Genomic predictors of prostate cancer outcomes are increasingly available for clinical use, including the Decipher genomic classifier (GC) test (GenomeDx Biosciences, San Diego, CA) that provides individual estimates of the risk of metastasis after RP and is intended to be used for decision- making regarding ART and SRT. Although the information provided by the GC test has been shown to influence the recommendations of clinicians for ART after prostatectomy, GC test results can be complex and it is not yet clear how patients and their families will incorporate the genomic- based risk estimates into treatment decisions.","[{'e1': 'the Decipher genomic classifier (GC) test ', 'e2': 'individual estimates of the risk of metastasis ', 'relation': 'provides ', 'condition': 'after RP'}, {'e1': ' the information provided by the GC test ', 'e2': 'influence the recommendations of clinicians for ART', 'relation': 'has been shown to ', 'condition': ' after prostatectomy'}]"
P86P3,"There was good concordance between central pathology review and local pathologists for seminal vesicle invasion [pT3b: 91%; k = 0.95 (95% CI 0.89, 1.00)], for extraprostatic extension [pT3a/b: 94%; k = 0.82 (95% CI 0.75, 0.89)], and for positive surgical margin status [87%; k = 0.7 (95% CI 0.62, 0.79)]. Agreement was lower for Gleason score [78%; k = 0.61 (95% CI 0.52, 0.70)]. The median largest diameter of carcinoma was 16 mm (range, 3–38 mm). A total of 49 patients (18%) experienced rapid biochemical progression after salvage RT. Largest diameter of carcinoma [odds ratio (OR): 2.04 (95% Confidence interval (CI): 1.30, 3.20); p = 0.002], resection margin status [OR: 0.36 (95% CI: 0.18, 0.72); p = 0.004] and Gleason score [OR: 1.55 (95% CI: 1.00, 2.42); p = 0.05] remained associated with rapid progression after salvage RT after backward selection.","[{'e1': '49 patients (18%) ', 'e2': 'rapid biochemical progression ', 'relation': 'experienced ', 'condition': 'after salvage RT'}, {'e1': 'largest diameter of carcinoma', 'e2': 'rapid progression', 'relation': 'remained associated with', 'condition': 'after salvage RT'}, {'e1': 'resection margin status', 'e2': 'rapid progression', 'relation': 'remained associated with', 'condition': 'after salvage RT'}, {'e1': 'Gleason score', 'e2': 'rapid progression', 'relation': 'remained associated with', 'condition': 'after salvage RT'}]"
P25P1,"This study examined whether differential DNA methylation is associated with clinical features of more aggressive disease at diagnosis and prostate cancer recurrence in African American men, who are more likely to die from prostate cancer than other populations. Tumor tissues from 76 African Americans diagnosed with prostate cancer who had radical prostatectomy as their primary treatment were profiled for epigenome-wide DNA methylation levels. Long-term follow-up identified 19 patients with prostate cancer recurrence. Twenty-three CpGs were differentially methylated (FDR q≤0.25, mean methylation difference ≥0.10) in patients with vs. without recurrence, including CpGs in GCK, CDKL2, PRDM13, and ZFR2. Methylation differences were also observed between men with metastatic-lethal prostate cancer vs. no recurrence (five CpGs), regional vs. local pathological stage (two CpGs), and higher vs. lower tumor aggressiveness (one CpG). These results indicate that differentially methylated CpG sites identified in tumor tissues of African American men may contribute to prostate cancer aggressiveness.","[{'e1': 'differential DNA methylation ', 'e2': 'clinical features of more aggressive disease at diagnosis and prostate cancer recurrence ', 'relation': 'is associated with ', 'condition': 'in African American men, who are more likely to die from prostate cancer than other populations'}]"
P177P6,"Regarding IFN-γ, prostate cancer cells have been shown to be poorly sensitive to its cytotoxic effects. Furthermore, it has been suggested that IFN-γ might induce immune-suppressive effects in prostate cancer.","[{'e1': 'IFN-γ ', 'e2': 'immune-suppressive effects ', 'relation': 'might induce ', 'condition': 'in prostate cancer.'}]"
P48P4,"Despite these advances, application of these insights into clinical decision making, particularly for patients with metastatic disease, remains in its infancy and therapeutic strategies are largely driven by the presence, and extent of routine clinical and pathological factors. Over the next decade, insights from genomics are likely to have a much more prominent role in drug development, prognostication, patient selection, monitoring treatment response and/or resistance, and clinical practice as a whole. In this Review, we outline a selected number of important genomic alterations in prostate cancer, and the clinical implications of these discoveries.","[{'e1': 'insights from genomics', 'e2': 'prominent role ', 'relation': ' are likely to have a much more ', 'condition': 'in drug development'}, {'e1': 'insights from genomics', 'e2': 'prominent role ', 'relation': ' are likely to have a much more ', 'condition': 'in prognostication'}, {'e1': 'insights from genomics', 'e2': 'prominent role ', 'relation': ' are likely to have a much more ', 'condition': 'in patient selection'}, {'e1': 'insights from genomics', 'e2': 'prominent role ', 'relation': ' are likely to have a much more ', 'condition': 'in monitoring treatment response and/or resistance'}, {'e1': 'insights from genomics', 'e2': 'prominent role ', 'relation': ' are likely to have a much more ', 'condition': 'in clinical practice as a whole'}]"
P139P3,"Our results showed that expression level of CPNE1 is higher in prostate cancer than in normal prostate tissues. In the GSE35988 dataset, CPNE1 expression was found to be upregulated in castration-resistant prostate cancer compared with non-castration-resistant prostate cancer. Furthermore, we found that CPNE1 high expression was significantly related to tumor stage, Gleason score, and poorer biochemical recurrence-free survival in prostate cancer patients. Co-expression analysis of TCGA data showed that CPNE1 is significantly associated with TRAF2 expression. CPNE1 overexpression can upregulate TRAF2 expression in prostate cancer DU-145 cells as determined by Western blotting and immunofluorescence assays.","[{'e1': ' CPNE1 high expression ', 'e2': 'tumor stage', 'relation': 'was significantly related to ', 'condition': 'in prostate cancer patients'}, {'e1': ' CPNE1 high expression ', 'e2': 'Gleason score ', 'relation': 'was significantly related to ', 'condition': 'in prostate cancer patients'}, {'e1': ' CPNE1 high expression ', 'e2': 'poorer biochemical recurrence-free survival ', 'relation': 'was significantly related to ', 'condition': 'in prostate cancer patients'}, {'e1': ' CPNE1 overexpression ', 'e2': 'TRAF2 expression', 'relation': 'can upregulate ', 'condition': ' in prostate cancer DU-145 cells'}]"
P96P13,"We investigated the relationship between disease-free survival and every possible candidate gene set based on the core gene set, defined as the power set of the core gene set. The Kaplan–Meier log-rank statistic was used for unbiased exploration of these gene subsets in correlation with disease-free survival, producing a disease-free survival landscape. Surprisingly, the Kaplan–Meier p-values were found to be statistically significant for only two gene sets, at a probability of 2/2047 = 0.1%. The optimal gene set comprises CYP26C1 and RDH10, both of which coordinate tightly with ALDH1A2 to control retinoic acid activities. We then compared disease-free survival in the patient cohort with altered expression of the two genes in the optimal gene set. Being positive for the optimal gene set, defined as having significantly altered expression of any or all of the genes in the optimal gene set signature, was associated with statistically significant poor survival. A strong correlation is seen between the optimal gene set and disease-free survival: patients with the optimal gene set have median disease-free survival of 62.7 months while more than 55% patients without the optimal gene set are still disease-free after 150 months.","[{'e1': 'the Kaplan–Meier p-values ', 'e2': 'statistically significant ', 'relation': 'were found to be ', 'condition': 'for only two gene sets, at a probability of 2/2047 = 0.1%'}]"
P192P1,"Pentatricopeptide repeat domain protein 3 (PTCD3) is a mitochondrial RNA-binding protein that serves a role in mitochondrial translation. PTCD3 was originally reported as an oncogene that is involved in breast cancer and lymphoma. However, the expression and function of PTCD3 in prostate cancer (PCa) are unknown. Therefore, the aim of the present study was to investigate the expression of PTCD3 and its clinical significance in PCa. Immunohistochemistry and dataset analyses revealed that PTCD3 protein expression levels were enhanced in human PCa tissues and mouse PCa models. PTCD3 expression levels were positively correlated with advanced PCa pathological grade and clinical stage. Additionally, PTCD3 mRNA expression was positively correlated with tissue malignancy, high Gleason score and distant metastasis in The Cancer Genome Atlas dataset. Kaplan-Meier analysis revealed that high PTCD3 levels can predict the increased biochemical recurrence (BCR)-free survival in all patients with or without metastasis. The overexpression of PTCD3 could be used as an independent prognostic marker of poor BCR-free survival. Immunofluorescence and western blot analysis in human PCa cell lines further confirmed that PTCD3 levels were associated with the hormone independence of PCa. Therefore, the present study revealed that PTCD3 levels may serve as a novel biomarker for PCa prognosis.","[{'e1': 'PTCD3 mRNA expression ', 'e2': 'tissue malignancy', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'PTCD3 mRNA expression ', 'e2': ' high Gleason score ', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'PTCD3 mRNA expression ', 'e2': 'distant metastasis ', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'high PTCD3 levels ', 'e2': 'increased biochemical recurrence (BCR)-free survival ', 'relation': 'can predict the ', 'condition': 'in all patients with or without metastasis'}, {'e1': 'PTCD3 levels ', 'e2': 'a novel biomarker ', 'relation': 'may serve as ', 'condition': 'for PCa prognosis.'}]"
